recipient,country,year,value
Iran,Russia,2000,341
Iran,Russia,2001,298
Iran,Russia,2002,92
Iran,Russia,2003,85
Iran,Russia,2004,15
Iran,Russia,2005,15
Iran,Russia,2006,368
Iran,Russia,2007,283
Iran,Russia,2008,15
Iran,Russia,2009,15
Iran,Russia,2010,41
Iran,Russia,2011,33
Iran,Russia,2012,15
Iran,Russia,2013,22
Iran,Russia,2014,4
Iran,South Korea,1980,
Iran,South Korea,1981,
Iran,South Korea,1982,
Iran,South Korea,1983,
Iran,South Korea,1984,
Iran,South Korea,1985,
Iran,South Korea,1986,45
Iran,South Korea,1987,
Iran,South Korea,1988,
Iran,South Korea,1989,
Iran,South Korea,1990,
Iran,South Korea,1991,
Iran,South Korea,1992,
Iran,South Korea,1993,
Iran,South Korea,1994,
Iran,South Korea,1995,
Iran,South Korea,1996,
Iran,South Korea,1997,
Iran,South Korea,1998,
Iran,South Korea,1999,
Iran,South Korea,2000,
Iran,South Korea,2001,
Iran,South Korea,2002,
Iran,South Korea,2003,
