U.S. Custom Ports,Address,bing_type,bing_confidence,bing_latitude,bing_longitude,Coast,Year,Value
"Charleston, SC","176 Concord Street, Charleston, SC",Address,High,32.780821323394775,-79.92576777935028,A,2014,1.198298126E7
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,1997,345758.13
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,1998,429642.44
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,1999,467506.05
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2000,535879.26
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2001,527034.98
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2002,568124.43
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2003,687881.76
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2004,813144.33
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2005,952885.86
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2006,901744.6499999992
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2007,944349.3499999997
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2008,912879.2299999997
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2009,604537.17
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2010,810088.33
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2011,787877.2700000001
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2012,637575.0399999999
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2013,638102.74
"Chester, PA","3460 N. Delaware Avenue, Philadelphia, PA",Address,High,39.98009294271469,-75.09011909365654,A,2014,880656.47
"Corpus Christi, TX","222 Power Street, Corpus Christi, TX",Address,High,27.804035186767578,-97.39319610595703,G,1997,858.49
"Corpus Christi, TX","222 Power Street, Corpus Christi, TX",Address,High,27.804035186767578,-97.39319610595703,G,1998,62.12
"Corpus Christi, TX","222 Power Street, Corpus Christi, TX",Address,High,27.804035186767578,-97.39319610595703,G,1999,68.01
"Corpus Christi, TX","222 Power Street, Corpus Christi, TX",Address,High,27.804035186767578,-97.39319610595703,G,2000,157.54
